03003080       gLCDControlBuffer
03003084       gGeneralLCDStatusBuffer
0300308C       gBg0ControlBuffer
03003090       gBg1ControlBuffer
03003094       gBg2ControlBuffer
03003098       gBg3ControlBuffer
0300309C       gBg0PositionBuffer
030030A0       gBg1PositionBuffer
030030A4       gBg2PositionBuffer
030030A8       gBg3PositionBuffer
030030AC       gWindowHDimBuffer
030030B0       gWindowVDimBuffer
030030B4       gWindowControlBuffer
030030B8       gMosaicSizeBuffer
030030BC       gColorSpecialEffectsSelectionBuffer
030030C4       gAlphaBlendingCoefficientsBuffer
030030C6       gBrightnessCoefficientBuffer
030030C8       gBg2RotationScalingParameterBuffer
030030CC       gBg2RotationScalingParameterBuffer2
030030D0       gBg2ReferencePointXBuffer
030030D4       gBg2ReferencePointYBuffer
030030D8       gBg3RotationScalingParameterBuffer
030030DC       gBg3RotationScalingParameterBuffer2
030030E0       gBg3ReferencePointXBuffer
030030E4       gBg3ReferencePointYBuffer
